CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Cluster,Segment
12547,198,3,299.58,2,2,1,5,0,New / Promising
12548,166,1,67.19999999999999,2,1,1,4,0,New / Promising
12549,576,5,1570.68,1,3,3,7,2,Lost
12550,79,1,824.83,3,1,2,6,0,New / Promising
12551,358,1,168.0,2,1,1,4,2,Lost
12552,40,1,317.82,3,1,1,5,0,New / Promising
12553,8,17,4044.82,4,4,4,12,3,Champions
12554,449,1,384.5,1,1,2,4,2,Lost
12555,682,1,129.23,1,1,1,3,2,Lost
12556,50,2,603.71,3,2,2,7,0,New / Promising
12557,16,8,18716.14,4,3,4,11,3,Champions
12558,2,2,1.0658141036401503e-14,4,2,1,7,0,New / Promising
12559,311,3,500.21000000000004,2,2,2,6,2,Lost
12560,5,3,1885.39,4,2,3,9,1,At Risk
12561,303,1,238.85,2,1,1,4,2,Lost
12562,8,9,4426.92,4,4,4,12,1,At Risk
12563,409,1,221.24,1,1,1,3,2,Lost
12564,261,1,402.90000000000003,2,1,2,5,0,New / Promising
12565,282,2,131.17000000000002,2,2,1,5,0,New / Promising
12566,73,2,292.7,3,2,1,6,0,New / Promising
12567,23,17,12151.82,4,4,4,12,3,Champions
12568,645,1,52.0,1,1,1,3,2,Lost
12569,2,33,3128.9900000000002,4,4,4,12,3,Champions
12570,682,1,77.52,1,1,1,3,2,Lost
12571,40,2,519.61,3,2,2,7,0,New / Promising
12572,9,3,896.72,4,2,3,9,1,At Risk
12573,227,5,717.41,2,3,2,7,1,At Risk
12574,316,1,182.45000000000002,2,1,1,4,2,Lost
12575,457,2,568.82,1,2,2,5,2,Lost
12576,36,11,2003.8700000000001,3,4,3,10,1,At Risk
12577,35,9,1587.4,3,4,3,10,1,At Risk
12578,21,7,3956.4500000000003,4,3,4,11,1,At Risk
12579,73,2,374.72,3,2,2,7,0,New / Promising
12580,247,2,962.9,2,2,3,7,0,New / Promising
12581,40,1,179.71,3,1,1,5,0,New / Promising
12582,239,4,1820.4,2,3,3,8,1,At Risk
12583,3,30,13210.9,4,4,4,12,3,Champions
12584,4,18,1809.95,4,4,3,11,3,Champions
12585,234,4,1766.81,2,3,3,8,1,At Risk
12586,17,5,2028.67,4,3,3,10,1,At Risk
12587,8,1,104.0,4,1,1,6,0,New / Promising
12588,39,4,698.98,3,3,2,8,1,At Risk
12589,29,8,2752.17,3,3,4,10,1,At Risk
12590,190,4,9330.48,2,3,4,9,1,At Risk
12591,317,3,1128.15,2,2,3,7,1,At Risk
12592,92,4,1723.64,3,3,3,9,1,At Risk
12593,109,3,382.1,2,2,2,6,0,New / Promising
12594,38,15,4862.51,3,4,4,11,3,Champions
12595,505,1,281.02,1,1,1,3,2,Lost
12596,51,2,450.27,3,2,2,7,0,New / Promising
12597,19,5,3067.13,4,3,4,11,1,At Risk
12598,10,14,4072.67,4,4,4,12,3,Champions
12599,29,13,2026.72,3,4,3,10,1,At Risk
12600,29,24,4383.72,3,4,4,11,3,Champions
12601,190,7,565.76,2,3,2,7,1,At Risk
12602,59,1,153.12,3,1,1,5,0,New / Promising
12603,22,1,613.1999999999999,4,1,2,7,0,New / Promising
12604,79,2,236.18,3,2,1,6,0,New / Promising
12605,365,4,1109.95,2,3,3,8,2,Lost
12606,682,1,21.0,1,1,1,3,2,Lost
12607,58,2,7.105427357601002e-15,3,2,1,6,0,New / Promising
12608,405,1,415.79,1,1,2,4,2,Lost
12609,78,9,3021.86,3,4,4,11,1,At Risk
12610,23,6,1705.99,4,3,3,10,1,At Risk
12611,52,1,1193.32,3,1,3,7,0,New / Promising
12612,58,2,607.59,3,2,2,7,0,New / Promising
12613,31,12,6051.52,3,4,4,11,3,Champions
12614,278,1,315.6,2,1,1,4,0,New / Promising
12615,2,11,5186.88,4,4,4,12,3,Champions
12616,85,7,937.35,3,3,3,9,1,At Risk
12617,29,1,355.53000000000003,3,1,2,6,0,New / Promising
12618,22,1,137.31,4,1,1,6,0,New / Promising
12619,16,12,3048.95,4,4,4,12,3,Champions
12620,15,3,1303.41,4,2,3,9,1,At Risk
12621,2,44,22329.31,4,4,4,12,3,Champions
12622,232,1,162.1,2,1,1,4,0,New / Promising
12623,276,7,3315.84,2,3,4,9,1,At Risk
12624,106,2,569.13,2,2,2,6,0,New / Promising
12625,212,5,4627.38,2,3,4,9,1,At Risk
12626,23,13,5722.35,4,4,4,12,3,Champions
12627,11,6,4082.53,4,3,4,11,1,At Risk
12628,4,4,715.61,4,3,2,9,1,At Risk
12629,386,2,1198.22,1,2,3,6,2,Lost
12630,10,2,1030.88,4,2,3,9,0,New / Promising
12631,57,7,3292.27,3,3,4,10,1,At Risk
12632,521,4,684.88,1,3,2,6,2,Lost
12633,59,10,5073.21,3,4,4,11,3,Champions
12634,548,1,360.0,1,1,2,4,2,Lost
12635,90,4,2624.41,3,3,4,10,1,At Risk
12637,67,13,8127.66,3,4,4,11,3,Champions
12638,33,2,681.49,3,2,2,7,0,New / Promising
12639,239,3,1072.3700000000001,2,2,3,7,1,At Risk
12640,24,3,994.58,4,2,3,9,1,At Risk
12641,115,1,145.9,2,1,1,4,0,New / Promising
12642,25,3,905.26,4,2,3,9,1,At Risk
12643,128,13,7379.9,2,4,4,10,3,Champions
12644,130,6,1797.54,2,3,3,8,1,At Risk
12645,34,10,3175.1,3,4,4,11,1,At Risk
12646,5,2,1346.97,4,2,3,9,0,New / Promising
12647,22,43,14710.79,4,4,4,12,3,Champions
12648,155,5,1024.0,2,3,3,8,1,At Risk
12649,107,10,2040.7,2,4,3,9,1,At Risk
12650,3,1,242.44,4,1,1,6,0,New / Promising
12651,335,5,365.3,2,3,2,7,2,Lost
12652,322,3,885.58,2,2,3,7,2,Lost
12653,149,3,4160.83,2,2,4,8,1,At Risk
12654,11,5,529.98,4,3,2,9,1,At Risk
12655,424,1,243.35000000000002,1,1,1,3,2,Lost
12656,17,12,5636.78,4,4,4,12,3,Champions
12657,11,5,1008.06,4,3,3,10,1,At Risk
12658,19,1,632.05,4,1,2,7,0,New / Promising
12659,30,1,73.67999999999999,3,1,1,5,0,New / Promising
12660,11,1,227.10000000000002,4,1,1,6,0,New / Promising
12661,436,1,162.0,1,1,1,3,2,Lost
12662,1,22,6335.17,4,4,4,12,3,Champions
12663,625,3,150.0,1,2,1,4,2,Lost
12664,8,11,5420.04,4,4,4,12,3,Champions
12665,325,5,247.45,2,3,1,6,2,Lost
12666,359,2,1020.98,2,2,3,7,2,Lost
12667,58,1,460.13,3,1,2,6,0,New / Promising
12668,7,11,9903.710000000001,4,4,4,12,3,Champions
12669,151,2,1427.73,2,2,3,7,1,At Risk
12670,10,8,3426.3900000000003,4,3,4,11,1,At Risk
12671,606,1,2622.48,1,1,4,6,2,Lost
12672,330,3,380.5,2,2,2,6,2,Lost
12673,5,3,1140.02,4,2,3,9,1,At Risk
12674,12,7,1793.31,4,3,3,10,1,At Risk
12675,554,4,850.8,1,3,2,6,2,Lost
12676,25,10,2333.09,4,4,4,12,1,At Risk
12677,555,3,353.3,1,2,2,5,2,Lost
12678,42,19,32425.13,3,4,4,11,3,Champions
12679,52,9,896.6700000000001,3,4,3,10,1,At Risk
12680,1,4,790.81,4,3,2,9,1,At Risk
12681,15,53,27640.760000000002,4,4,4,12,3,Champions
12682,4,52,21605.81,4,4,4,12,3,Champions
12683,4,26,11122.6,4,4,4,12,3,Champions
12684,8,6,2073.63,4,3,3,10,1,At Risk
12685,28,6,2575.08,3,3,4,10,1,At Risk
12686,372,1,142.28,2,1,1,4,2,Lost
12687,481,1,1858.91,1,1,3,5,2,Lost
12688,114,1,4873.81,2,1,4,7,1,At Risk
12689,26,2,1139.6100000000001,3,2,3,8,0,New / Promising
12690,206,1,335.01,2,1,2,5,0,New / Promising
12691,28,6,1044.4,3,3,3,9,1,At Risk
12692,637,1,110.95,1,1,1,3,2,Lost
12693,121,11,1352.42,2,4,3,9,1,At Risk
12694,70,4,1659.45,3,3,3,9,1,At Risk
12695,7,7,1371.1200000000001,4,3,3,10,1,At Risk
12696,435,3,681.15,1,2,2,5,2,Lost
12697,21,5,739.02,4,3,2,9,1,At Risk
12698,590,1,285.75,1,1,1,3,2,Lost
12699,418,1,566.11,1,1,2,4,2,Lost
12700,8,4,4525.99,4,3,4,11,1,At Risk
12701,80,6,2248.41,3,3,4,10,1,At Risk
12702,20,1,201.0,4,1,1,6,0,New / Promising
12703,64,7,802.1800000000001,3,3,2,8,1,At Risk
12704,7,8,1740.84,4,3,3,10,1,At Risk
12705,15,21,10906.0,4,4,4,12,3,Champions
12706,682,1,-91.89,1,1,1,3,2,Lost
12707,292,1,603.42,2,1,2,5,0,New / Promising
12708,30,29,4560.16,3,4,4,11,3,Champions
12709,3,54,29468.26,4,4,4,12,3,Champions
12710,97,4,1004.5699999999999,2,3,3,8,1,At Risk
12711,612,2,1213.05,1,2,3,6,2,Lost
12712,23,28,6205.66,4,4,4,12,3,Champions
12713,1,1,794.55,4,1,2,7,0,New / Promising
12714,9,12,12815.710000000001,4,4,4,12,3,Champions
12715,106,1,273.86,2,1,1,4,0,New / Promising
12716,4,2,963.49,4,2,3,9,0,New / Promising
12717,151,3,1058.91,2,2,3,7,1,At Risk
12718,71,1,202.25,3,1,1,5,0,New / Promising
12719,5,3,536.1,4,2,2,8,0,New / Promising
12720,3,39,7111.88,4,4,4,12,3,Champions
12721,32,10,3528.68,3,4,4,11,1,At Risk
12722,85,6,886.33,3,3,3,9,1,At Risk
12723,4,5,707.07,4,3,2,9,1,At Risk
12724,5,7,2083.52,4,3,3,10,1,At Risk
12725,371,3,2278.56,2,2,4,8,1,At Risk
12726,28,11,3690.6,3,4,4,11,3,Champions
12727,11,11,4890.53,4,4,4,12,3,Champions
12728,71,5,926.17,3,3,3,9,1,At Risk
12729,114,1,417.01,2,1,2,5,0,New / Promising
12730,522,1,703.25,1,1,2,4,2,Lost
12731,24,19,25540.21,4,4,4,12,3,Champions
12732,180,1,218.26000000000002,2,1,1,4,0,New / Promising
12733,234,6,2325.9700000000003,2,3,4,9,1,At Risk
12734,353,3,603.65,2,2,2,6,2,Lost
12735,315,2,689.5699999999999,2,2,2,6,2,Lost
12736,333,1,144.0,2,1,1,4,2,Lost
12737,499,1,100.0,1,1,1,3,2,Lost
12738,372,1,274.7,2,1,1,4,2,Lost
12739,99,2,2421.23,2,2,4,8,1,At Risk
12740,64,1,427.6,3,1,2,6,0,New / Promising
12741,533,1,236.07,1,1,1,3,2,Lost
12742,600,2,1185.02,1,2,3,6,2,Lost
12743,134,2,546.43,2,2,2,6,0,New / Promising
12744,56,8,13158.16,3,3,4,10,3,Champions
12745,487,3,925.41,1,2,3,6,2,Lost
12746,528,3,230.85,1,2,1,4,2,Lost
12747,2,32,9164.59,4,4,4,12,3,Champions
12748,1,344,50056.29,4,4,4,12,3,Champions
12749,4,16,6328.49,4,4,4,12,3,Champions
12750,129,1,275.88,2,1,1,4,0,New / Promising
12751,445,1,268.27,1,1,1,3,2,Lost
12752,81,1,4366.78,3,1,4,8,1,At Risk
12753,4,11,21024.01,4,4,4,12,3,Champions
12754,236,3,3010.74,2,2,4,8,1,At Risk
12755,250,21,6423.900000000001,2,4,4,10,3,Champions
12756,87,1,112.08,3,1,1,5,0,New / Promising
12757,16,10,4184.2,4,4,4,12,3,Champions
12758,117,8,9779.0,2,3,4,9,3,Champions
12759,52,8,4618.74,3,3,4,10,1,At Risk
12760,456,1,317.8,1,1,1,3,2,Lost
12761,465,1,712.95,1,1,2,4,2,Lost
12762,8,2,1702.52,4,2,3,9,1,At Risk
12763,138,2,814.16,2,2,2,6,0,New / Promising
12764,317,1,1693.88,2,1,3,6,2,Lost
12765,472,6,1299.58,1,3,3,7,2,Lost
12766,4,11,9074.43,4,4,4,12,3,Champions
12767,376,1,949.82,2,1,3,6,2,Lost
12768,432,2,0.0,1,2,1,4,2,Lost
12769,239,1,1143.6,2,1,3,6,0,New / Promising
12770,211,7,2981.45,2,3,4,9,1,At Risk
12771,465,2,206.5,1,2,1,4,2,Lost
12772,60,1,752.47,3,1,2,6,0,New / Promising
12773,564,2,1.7763568394002505e-15,1,2,1,4,2,Lost
12774,536,1,83.7,1,1,1,3,2,Lost
12775,17,8,1516.32,4,3,3,10,1,At Risk
12776,668,1,27.5,1,1,1,3,2,Lost
12777,458,1,519.45,1,1,2,4,2,Lost
12778,20,9,1541.68,4,4,3,11,1,At Risk
12779,21,21,6406.76,4,4,4,12,3,Champions
12780,599,1,322.4,1,1,1,3,2,Lost
12781,22,4,671.72,4,3,2,9,1,At Risk
12782,5,14,3770.04,4,4,4,12,3,Champions
12783,2,4,1295.8700000000001,4,3,3,10,1,At Risk
12784,15,2,1552.75,4,2,3,9,1,At Risk
12785,3,5,883.3100000000001,4,3,3,10,1,At Risk
12786,610,1,668.5000000000001,1,1,2,4,2,Lost
12787,10,4,799.1800000000001,4,3,2,9,1,At Risk
12788,463,4,384.90000000000003,1,3,2,6,2,Lost
12789,65,3,225.35,3,2,1,6,0,New / Promising
12790,192,3,518.45,2,2,2,6,0,New / Promising
12791,374,5,834.4300000000001,2,3,2,7,2,Lost
12792,257,3,701.88,2,2,2,6,0,New / Promising
12793,335,3,849.33,2,2,2,6,2,Lost
12794,53,2,860.41,3,2,3,8,0,New / Promising
12795,19,1,318.48,4,1,1,6,0,New / Promising
12796,628,1,351.0,1,1,2,4,2,Lost
12797,360,6,613.46,2,3,2,7,1,At Risk
12798,10,4,8510.93,4,3,4,11,1,At Risk
12799,529,1,219.35,1,1,1,3,2,Lost
12800,470,2,500.25,1,2,2,5,2,Lost
12801,478,2,831.87,1,2,2,5,2,Lost
12802,184,7,2120.42,2,3,3,8,1,At Risk
12803,393,1,1017.81,1,1,3,5,2,Lost
12804,466,2,327.02,1,2,1,4,2,Lost
12805,382,4,1230.95,1,3,3,7,2,Lost
12806,572,2,2558.96,1,2,4,7,2,Lost
12807,383,2,229.95,1,2,1,4,2,Lost
12808,37,5,850.1,3,3,2,8,1,At Risk
12809,168,8,1333.74,2,3,3,8,1,At Risk
12810,535,2,534.99,1,2,2,5,2,Lost
12811,262,4,893.9,2,3,3,8,1,At Risk
12812,45,1,229.64000000000001,3,1,1,5,0,New / Promising
12813,502,3,1621.8,1,2,3,6,2,Lost
12814,102,1,85.92,2,1,1,4,0,New / Promising
12815,148,2,863.46,2,2,3,7,0,New / Promising
12816,96,2,452.2,2,2,2,6,0,New / Promising
12817,281,3,570.98,2,2,2,6,0,New / Promising
12818,178,2,1157.88,2,2,3,7,0,New / Promising
12819,458,1,540.52,1,1,2,4,2,Lost
12820,3,13,2647.94,4,4,4,12,3,Champions
12821,214,2,220.8,2,2,1,5,0,New / Promising
12822,71,3,918.98,3,2,3,8,1,At Risk
12823,75,18,6501.5,3,4,4,11,3,Champions
12824,60,1,397.12,3,1,2,6,0,New / Promising
12825,521,2,518.63,1,2,2,5,2,Lost
12826,3,15,2928.69,4,4,4,12,3,Champions
12827,6,3,430.15,4,2,2,8,0,New / Promising
12828,3,6,1018.71,4,3,3,10,1,At Risk
12829,322,4,345.35,2,3,2,7,2,Lost
12830,38,6,6814.64,3,3,4,10,1,At Risk
12831,262,3,451.11,2,2,2,6,0,New / Promising
12832,32,2,383.03000000000003,3,2,2,7,0,New / Promising
12833,145,1,417.38,2,1,2,5,0,New / Promising
12834,283,1,312.38,2,1,1,4,0,New / Promising
12835,418,49,6018.67,1,4,4,9,3,Champions
12836,59,17,6546.47,3,4,4,11,3,Champions
12837,173,2,688.41,2,2,2,6,0,New / Promising
12838,34,12,3376.03,3,4,4,11,3,Champions
12839,3,30,9932.33,4,4,4,12,3,Champions
12840,144,11,4013.87,2,4,4,10,1,At Risk
12841,5,42,7390.4800000000005,4,4,4,12,3,Champions
12842,70,4,1917.99,3,3,3,9,1,At Risk
12843,66,32,6224.12,3,4,4,11,3,Champions
12844,29,4,648.6,3,3,2,8,1,At Risk
12845,267,4,354.09000000000003,2,3,2,7,0,New / Promising
12846,682,1,15.58,1,1,1,3,2,Lost
12847,22,2,1636.8999999999999,4,2,3,9,1,At Risk
12848,676,1,208.0,1,1,1,3,2,Lost
12849,31,6,3064.07,3,3,4,10,1,At Risk
12850,446,1,330.0,1,1,1,3,2,Lost
12851,97,2,284.13,2,2,1,5,0,New / Promising
12852,290,2,299.75,2,2,1,5,0,New / Promising
12853,108,16,3728.5,2,4,4,10,3,Champions
12854,79,11,2922.37,3,4,4,11,1,At Risk
12855,373,4,650.94,2,3,2,7,2,Lost
12856,8,8,2162.68,4,3,3,10,1,At Risk
12857,211,7,3684.25,2,3,4,9,1,At Risk
12858,383,2,151.73,1,2,1,4,2,Lost
12859,459,1,575.1,1,1,2,4,2,Lost
12860,693,1,55.47,1,1,1,3,2,Lost
12861,620,1,68.25,1,1,1,3,2,Lost
12862,426,2,1008.32,1,2,3,6,2,Lost
12863,52,7,2775.55,3,3,4,10,1,At Risk
12864,138,2,299.57,2,2,1,5,0,New / Promising
